
[INFO ] 2017-01-25 17:58:44.965 [JavaFX Application Thread] LogsManager - GAME OPENED 
[INFO ] 2017-01-25 17:59:15.132 [JavaFX Application Thread] LogsManager - NEW GAME STARTED 
[INFO ] 2017-01-25 17:59:17.461 [JavaFX Application Thread] LogsManager - EASY LEVEL SELECTED 
[INFO ] 2017-01-25 17:59:56.952 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:24.290 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:24.303 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:26.601 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:26.606 [JavaFX Application Thread] LogsManager - GAME ENDED 
[INFO ] 2017-01-25 18:00:26.607 [JavaFX Application Thread] LogsManager - TWO PLAYERS TIED 
[INFO ] 2017-01-25 18:00:26.612 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:28.649 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:32.728 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:32.732 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:32.736 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:32.741 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:32.744 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:32.748 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:32.752 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:32.756 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:32.759 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:32.763 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:32.765 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:32.768 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:32.770 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:32.773 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:32.775 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:32.778 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:32.780 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:32.782 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:32.785 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:32.787 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:32.790 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:32.792 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:32.794 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:32.796 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:00:32.798 [JavaFX Application Thread] LogsManager - NEW SHAPE CREATED 
[INFO ] 2017-01-25 18:38:37.696 [JavaFX Application Thread] LogsManager - GAME OPENED 
[INFO ] 2017-01-25 18:38:58.700 [JavaFX Application Thread] LogsManager - NEW GAME STARTED 
